name,type,all_type,description,group,all_group,indoor_outdoor,all_in_out,longitude,latitude,geometry
Åkrogen Strand,Beach,Show all,Public beach at Egå,Both children and adults,Show all,Outdoor,Show all,10.282961178719345,56.203752769342834,"c(10.2829611787193, 56.2037527693428)"
A. H. Wingesvej,Playground,Show all,Outdoor playground,Children,Show all,Outdoor,Show all,10.20413687502922,56.175453373440845,"c(10.2041368750292, 56.1754533734408)"
Havrebakken,Playground,Show all,Outdoor playground,Children,Show all,Outdoor,Show all,10.202700735954497,56.18295482941062,"c(10.2027007359545, 56.1829548294106)"
Hullet,Playground,Show all,Outdoor playground,Children,Show all,Outdoor,Show all,10.178922575111892,56.20032636431384,"c(10.1789225751119, 56.2003263643138)"
Kasted,Playground,Show all,Outdoor playground,Children,Show all,Outdoor,Show all,10.129599602648558,56.20792786476296,"c(10.1295996026486, 56.207927864763)"
Kimbrerdalen,Playground,Show all,Outdoor playground,Children,Show all,Outdoor,Show all,10.171120724633118,56.227366228204474,"c(10.1711207246331, 56.2273662282045)"
Lillehammervej,Playground,Show all,Outdoor playground,Children,Show all,Outdoor,Show all,10.193399938798262,56.17803803946387,"c(10.1933999387983, 56.1780380394639)"
Lisbjerg,Playground,Show all,Outdoor playground,Children,Show all,Outdoor,Show all,10.165270869707859,56.22201106504174,"c(10.1652708697079, 56.2220110650417)"
Steen Billes Torv,Playground,Show all,Outdoor playground,Children,Show all,Outdoor,Show all,10.21468125496036,56.17348683352561,"c(10.2146812549604, 56.1734868335256)"
Vorrevangsparken,Playground,Show all,Outdoor playground,Children,Show all,Outdoor,Show all,10.201330961554053,56.1857807309507,"c(10.2013309615541, 56.1857807309507)"
Shelter i Lisbjerg gammel skov,Nature facilities,Show all,Outdoor shelter,Both children and adults,Show all,Outdoor,Show all,10.169460000000083,56.23543097999977,"c(10.1694600000001, 56.2354309799998)"
Shelter på Vestereng,Nature facilities,Show all,Outdoor shelter,Both children and adults,Show all,Outdoor,Show all,10.183249080000088,56.18680901999977,"c(10.1832490800001, 56.1868090199998)"
Shelter i Brendstrup Skov,Nature facilities,Show all,Outdoor shelter,Both children and adults,Show all,Outdoor,Show all,10.161816120000081,56.18415599999977,"c(10.1618161200001, 56.1841559999998)"
Shelterplads i Lisbjerg ny skov,Nature facilities,Show all,Outdoor shelter,Both children and adults,Show all,Outdoor,Show all,10.171774000000084,56.226817999999774,"c(10.1717740000001, 56.2268179999998)"
Fitnessplads Riis Skov ,Sport and fitness,Show all,Outdoor fitness facilities,Adults,Show all,Outdoor,Show all,10.221158160000105,56.17001600999978,"c(10.2211581600001, 56.1700160099998)"
Bålplads Kimbrerdalen i Lisbjerg,Nature facilities,Show all,Bonfire pit in forest,Both children and adults,Show all,Outdoor,Show all,10.171168920000081,56.22707897999976,"c(10.1711689200001, 56.2270789799998)"
Træklatring i Vestereng Skov,Sport and fitness,Show all,Tree climbing,Both children and adults,Show all,Outdoor,Show all,10.18395195238458,56.18582736790754,"c(10.1839519523846, 56.1858273679075)"
Vestereng,Forest,Show all,Forest,Both children and adults,Show all,Outdoor,Show all,10.18030760069878,56.184419335247924,"c(10.1803076006988, 56.1844193352479)"
Brendstrup Skov,Forest,Show all,Forest,Both children and adults,Show all,Outdoor,Show all,10.154693930542,56.18353407311748,"c(10.154693930542, 56.1835340731175)"
"Lisbjerg Skov, den gamle del",Forest,Show all,Forest,Both children and adults,Show all,Outdoor,Show all,10.174451603510747,56.23295096358043,"c(10.1744516035107, 56.2329509635804)"
"Lisbjerg Skov, den nye del",Forest,Show all,Forest,Both children and adults,Show all,Outdoor,Show all,10.16822970254678,56.22784503493881,"c(10.1682297025468, 56.2278450349388)"
Aarhus Skating Rink,Sport and fitness,Show all,Indoor skating rink. Only open from March-October.,Both children and adults,Show all,Indoor,Show all,10.189579083091049,56.18245875163238,"c(10.189579083091, 56.1824587516324)"
Aarhus Beach Volley,Sport and fitness,Show all,"Aarhus Beach Volley club, where volleyball fields can be rented. Has indoor facilities during the winter months.",Both children and adults,Show all,Indoor and Outdoor,Show all,10.183270527435388,56.18288867091209,"c(10.1832705274354, 56.1828886709121)"
Nordisk Film Biografer Trøjborg,Cinema,Show all,Movie theatre at Trøjborg.,Both children and adults,Show all,Indoor,Show all,10.21553190414435,56.170882781538054,"c(10.2155319041444, 56.1708827815381)"
Vestereng Disc Golf Field,Sport and fitness,Show all,Disc golf field with 9 holes.,Both children and adults,Show all,Outdoor,Show all,10.18361706830285,56.18435419009484,"c(10.1836170683028, 56.1843541900948)"
Ovartaci Museum,Museum,Show all,This muesum is located at a psychiatric hospital from 1852 and exhibits historical exhibitions and work of art from previous patients of the hospital.,Both children and adults,Show all,Indoor,Show all,10.187693581279355,56.18671026455704,"c(10.1876935812794, 56.186710264557)"
Leos Legeland,Entertainment,Show all,Leos Play Centre is a large play centre offering many fun activities for children and the entire family.,Both children and adults,Show all,Indoor,Show all,10.184617300167886,56.20371030829333,"c(10.1846173001679, 56.2037103082933)"
Botanisk Have,Playground,Show all,Outdoor playground,Children,Show all,Outdoor,Show all,10.192028609585996,56.161545421852125,"c(10.192028609586, 56.1615454218521)"
Botanisk Have,Playground,Show all,Outdoor playground,Children,Show all,Outdoor,Show all,10.193779310796272,56.15857515965875,"c(10.1937793107963, 56.1585751596588)"
Frederiksbjerg Bypark,Playground,Show all,Outdoor playground,Children,Show all,Outdoor,Show all,10.188984475202984,56.14718288880334,"c(10.188984475203, 56.1471828888033)"
Kirkedammen,Playground,Show all,Outdoor playground,Children,Show all,Outdoor,Show all,10.17881907862327,56.14031572304101,"c(10.1788190786233, 56.140315723041)"
Mindeparken,Playground,Show all,Outdoor playground,Children,Show all,Outdoor,Show all,10.203984310518242,56.12955553345118,"c(10.2039843105182, 56.1295555334512)"
Rømerhaven,Playground,Show all,Outdoor playground,Children,Show all,Outdoor,Show all,10.207439060705246,56.13115886353106,"c(10.2074390607052, 56.1311588635311)"
Tiegtens Plads,Playground,Show all,Outdoor playground,Children,Show all,Outdoor,Show all,10.203014318170618,56.144484963566185,"c(10.2030143181706, 56.1444849635662)"
Vennelystparken,Playground,Show all,Outdoor playground,Children,Show all,Outdoor,Show all,10.20663584698425,56.165166565720455,"c(10.2066358469843, 56.1651665657205)"
DOKK1,Playground,Show all,Outdoor playground,Children,Show all,Outdoor,Show all,10.213999828021997,56.153385621777375,"c(10.213999828022, 56.1533856217774)"
Fitnessplads Tangkrogen ,Sport and fitness,Show all,Outdoor fitness facilities,Adults,Show all,Outdoor,Show all,10.210955040000101,56.13883001999977,"c(10.2109550400001, 56.1388300199998)"
Fitnessplads Mindeparken ,Sport and fitness,Show all,Outdoor fitness facilities,Adults,Show all,Outdoor,Show all,10.203855120000098,56.129051969999765,"c(10.2038551200001, 56.1290519699998)"
Fitnessplads Frederiksbjerg Bypark ,Sport and fitness,Show all,Outdoor fitness facilities,Adults,Show all,Outdoor,Show all,10.190007000000094,56.14730900999977,"c(10.1900070000001, 56.1473090099998)"
Fitnessplads i Havreballe Skov ,Sport and fitness,Show all,Outdoor fitness facilities,Adults,Show all,Outdoor,Show all,10.195697880000093,56.134288979999766,"c(10.1956978800001, 56.1342889799998)"
Bålplads i Havreballe Skov,Nature facilities,Show all,Bonfire pit in forest,Both children and adults,Show all,Outdoor,Show all,10.203216120000096,56.137313969999774,"c(10.2032161200001, 56.1373139699998)"
Bålhytte i Havreballe Skov,Nature facilities,Show all,Bonfire pit in forest,Both children and adults,Show all,Outdoor,Show all,10.203063120000097,56.13701102999976,"c(10.2030631200001, 56.1370110299998)"
Bålplads i Thors Skov,Nature facilities,Show all,Bonfire pit in forest,Both children and adults,Show all,Outdoor,Show all,10.2119720000001,56.12197699999979,"c(10.2119720000001, 56.1219769999998)"
Træklatring i Havreballe Skov,Sport and fitness,Show all,Tree climbing,Both children and adults,Show all,Outdoor,Show all,10.203792954929643,56.138158903530055,"c(10.2037929549296, 56.1381589035301)"
Klatreområde Folkestedet,Sport and fitness,Show all,Tree climbing,Both children and adults,Show all,Outdoor,Show all,10.193932829525124,56.15552369309485,"c(10.1939328295251, 56.1555236930948)"
Kirkeskov,Forest,Show all,Forest,Both children and adults,Show all,Outdoor,Show all,10.203478247807245,56.123000422937686,"c(10.2034782478072, 56.1230004229377)"
Forstbotanisk Have,Forest,Show all,Forest,Both children and adults,Show all,Outdoor,Show all,10.200662446311785,56.125460694797454,"c(10.2006624463118, 56.1254606947975)"
Hestehaven,Forest,Show all,Forest,Both children and adults,Show all,Outdoor,Show all,10.211611419169763,56.12288972231933,"c(10.2116114191698, 56.1228897223193)"
Havreballe Skov,Forest,Show all,Forest,Both children and adults,Show all,Outdoor,Show all,10.199681311990261,56.133943342784804,"c(10.1996813119903, 56.1339433427848)"
ARoS,Museum,Show all,"ARoS Aarhus Art Museum is one of Northern Europe's largest art museums and one of the most visited art museums in Scandinavia. Here you can experience Your rainbow panorama, a spectacular artwork by Olafur Eliasson.",Both children and adults,Show all,Indoor,Show all,10.1997481837217,56.15406836215421,"c(10.1997481837217, 56.1540683621542)"
Radar,Venue,Show all,Radar is a venue located close to the cultural hub Godsbanen. At Radar you can experience upcoming and avantgarde musical artists which are both national and international. ,Adults,Show all,Indoor,Show all,10.194693439010802,56.15354989940669,"c(10.1946934390108, 56.1535498994067)"
Domen,Entertainment,Show all,"The Dome (Domen) is a creative and architectonic gem in the centre of Aarhus, where you can enjoy music, art and culture or simply take in the distinctive architecture and the beautiful bright room.",Both children and adults,Show all,Indoor,Show all,10.218563426050121,56.15813334685535,"c(10.2185634260501, 56.1581333468554)"
KØN - Gender Museum Denmark,Museum,Show all,"The Women Museum has changed it name to KØN - Gender Museum Denmark and emphasizes the cultural history between genders and discusses the gender policies, equality, body and sexuality.",Both children and adults,Show all,Indoor,Show all,10.211362881870421,56.157294947985854,"c(10.2113628818704, 56.1572949479859)"
The Cathedral of Aarhus,Church,Show all,The Cathedral of Aarhus is a Gothic church dating from the 12th century dedicated to Saint Clement. The cathedral is frequently used for concerts as well as normal services. On Sundays and church days the Cathedral is only open for churchgoers.,Both children and adults,Show all,Indoor,Show all,10.210858626581294,56.15698424424416,"c(10.2108586265813, 56.1569842442442)"
Aarhus Theatre,Theater,Show all,"The Aarhus Theatre is a historic theater in the heart of Aarhus. With 4 stages and a total of 1,200 seats it is one of the most popular cultural attractions in Aarhus. ",Both children and adults,Show all,Indoor,Show all,10.210890813089105,56.156255275602106,"c(10.2108908130891, 56.1562552756021)"
Viking Museum,Museum,Show all,The Viking Museum is a window to the Viking town of Aros. Some 1200 years ago the Vikings founded Aarhus – at the very same spot and level where The Viking Museum is situated in the basement underneath the Nordea Bank in the 'Skt. Clemens Torv' Square. ,Both children and adults,Show all,Indoor,Show all,10.209155443539524,56.156642957386495,"c(10.2091554435395, 56.1566429573865)"
Den Gamle By,Museum,Show all,'Den Gamle By' - The Old Town Museum is a perfectly unique attraction in Aarhus for the whole family to go on a fascinating journey back in history. The museum is awarded the maximum three stars in the Michelin Travel Guide. ,Both children and adults,Show all,Indoor and Outdoor,Show all,10.193709004518515,56.15829268802011,"c(10.1937090045185, 56.1582926880201)"
Øst for Paradis,Cinema,Show all,"At Øst for Paradis they show handpicked films from all over the world, in auditoria steeped in atmosphere. This cinema specialises in small, wonderful film gems which deserve a bigger audience; whether the protagonists speak Finnish, Turkish, or English is irrelevant as long as the film hits the spot.",Adults,Show all,Indoor,Show all,10.209330189645595,56.16053918195692,"c(10.2093301896456, 56.1605391819569)"
Museum of Ancient Art,Museum,Show all,The Museum of Ancient Art at the University of Aarhus takes you on a cultural journey back to the Mediterranean countries in ancient times.,Adults,Show all,Indoor,Show all,10.200483772427283,56.17078053216425,"c(10.2004837724273, 56.1707805321643)"
Natural History Museum,Museum,Show all,"At Naturhistorisk Museum, the Natural History Museum in Aarhus you can experience the abundance of life inhabiting the earth. Experience the museum's four permanent exhibitions and changing special exhibitions. ",Both children and adults,Show all,Indoor,Show all,10.202586624271312,56.16765057867399,"c(10.2025866242713, 56.167650578674)"
Steno Museum,Museum,Show all,"Explore the Universe in Aarhus. At the Steno Museum for the History of Science and Medicine both children and adults can go on a trail of discovery in the natural sciences and explore the cultural history of medicine. Here there are scientific instruments, an array of fascinating inter-activities where, amongst many other things, you can test Galileo’s law of gravity, or play with your own mirror image. ",Both children and adults,Show all,Indoor,Show all,10.202844116333848,56.165727083753616,"c(10.2028441163338, 56.1657270837536)"
Botanical Garden,Park,Show all,"The Botanical Garden is a green oasis just to the west of Den Gamle By ""The Old Town Museum"" the Urban Museum in the centre of Aarhus. It is open to the public all the year round and is well worth a visit in all seasons of the year. ",Both children and adults,Show all,Outdoor,Show all,10.189673741560096,56.16249642367417,"c(10.1896737415601, 56.1624964236742)"
The Tropical Houses in the Botanical Garden,Park,Show all,"The Tropical Houses (in Danish ""Væksthusene"") in the Botanical Garden in Aarhus are a place where numerous plant collections are presented and preserved in four different climate zones.",Both children and adults,Show all,Indoor,Show all,10.194194037496759,56.160214447700014,"c(10.1941940374968, 56.1602144477)"
Musikhuset,Venue,Show all,"The Concert Hall (Musikhuset Aarhus) has exclusive rooms for gatherings of up to 1,800 people. The primary function of the house as a facilitator of arts and culture creates a warm atmosphere in the exciting environment that people remember for the happy moments and good experiences.",Both children and adults,Show all,Indoor,Show all,10.199730625159875,56.15305240902137,"c(10.1997306251599, 56.1530524090214)"
Rådhusparken,Park,Show all,"Small, relaxed city park featuring garden areas, open lawns, large trees, and various sculptures.",Both children and adults,Show all,Outdoor,Show all,10.2017439297455,56.15186094237423,"c(10.2017439297455, 56.1518609423742)"
Mølleparken,Park,Show all,"Park located in the centre of Aarhus. Mølleparken offers sports, striking public sculptures, and walks by the canal, plus bar terraces & live bands in summer.",Both children and adults,Show all,Outdoor,Show all,10.200461084527019,56.15615076370633,"c(10.200461084527, 56.1561507637063)"
Godsbanen,Entertainment,Show all,"Godsbanen is a centre for cultural production in Aarhus. Enjoy the resturant, the open workshops or the great view from the roof of the unique building.",Both children and adults,Show all,Indoor,Show all,10.193904612138315,56.15387193707342,"c(10.1939046121383, 56.1538719370734)"
Aarhus Svømmestadion,Sport and fitness,Show all,Public indoor swimming facilities with sauna and swimmingpools.,Both children and adults,Show all,Indoor,Show all,10.197232145156663,56.14406869601327,"c(10.1972321451567, 56.1440686960133)"
Badeanstalten Spanien,Sport and fitness,Show all,Indoor pool and spa with sauna and steam showers.,Both children and adults,Show all,Indoor,Show all,10.21140805184869,56.151774885326184,"c(10.2114080518487, 56.1517748853262)"
Marselisborg  Slotspark,Park,Show all,"The gardens beloning to the Danish Queen's summer residence. The castle itself is not open to the public from the inside, from the park surrounding it is.",Both children and adults,Show all,Outdoor,Show all,10.200517877268732,56.12754419058329,"c(10.2005178772687, 56.1275441905833)"
Mindeparken,Park,Show all,"English-style gardens surrounding a royal palace, with a war memorial, a playground & sea views.",Both children and adults,Show all,Outdoor,Show all,10.205989583689995,56.12945763869681,"c(10.20598958369, 56.1294576386968)"
Marselisborg Beach,Beach,Show all,Beach at Marselisborg.,Both children and adults,Show all,Outdoor,Show all,10.213907464641407,56.128811860581685,"c(10.2139074646414, 56.1288118605817)"
The Infinite Bridge,Beach,Show all,"Scenic, round bridge by the ocean at Marselisborg.",Both children and adults,Show all,Outdoor,Show all,10.218198999080917,56.1249728447188,"c(10.2181989990809, 56.1249728447188)"
Marselisborg Marina,Marina,Show all,"Marselisborg Marina was built in 1991 and is one of the newest in the Aarhus Area and is characterized by unconventional architecture.  At the marina you can eat food, gets drinks and eat icecream.",Both children and adults,Show all,Outdoor,Show all,10.215763553292861,56.138736511739914,"c(10.2157635532929, 56.1387365117399)"
Ceres Park Arena,Entertainment,Show all,"Home Stadium of Aarhus' football team, AGF (KSDH).",Both children and adults,Show all,Outdoor,Show all,10.196863436560216,56.13258983489176,"c(10.1968634365602, 56.1325898348918)"
Tivoli Friheden,Entertainment,Show all,Tivoli Friheden is a theme park in the center of Aarhus located within walking distance from the city centre in the beautiful Marselisborg Forest. Make sure to visit Tivoli Friheden this year.,Both children and adults,Show all,Outdoor,Show all,10.1978504894666,56.136990045824696,"c(10.1978504894666, 56.1369900458247)"
Ole Rømer Observatory,Museum,Show all,"At The Ole Rømer Observatory in Aarhus you can enjoy the fascinating sight of the lunar landscape seen through telescopes. The Observatory is under reconstruction, and will open again in September 2023.",Both children and adults,Show all,Indoor and Outdoor,Show all,10.19312980165347,56.128165202090166,"c(10.1931298016535, 56.1281652020902)"
Outdoor Skating Rink by Musikhuset,Sport and fitness,Show all,Outdoor skating rink. Only open from mid-November to mid-February.,Both children and adults,Show all,Outdoor,Show all,10.2009328738133,56.15218810252487,"c(10.2009328738133, 56.1521881025249)"
Kunsthal Aarhus,Museum,Show all,"Kunsthal Aarhus is, with light and spacious exhibition halls, one of Denmark’s largest and most beautiful exhibition venues for contemporary art.",Adults,Show all,Indoor,Show all,10.201863600362467,56.15542388479521,"c(10.2018636003625, 56.1554238847952)"
DGI Huset,Sport and fitness,Show all,"Gym and sports complex with facilities for indoor climbing, group exercise classes, and a cafe/bar.",Both children and adults,Show all,Indoor,Show all,10.206246329889723,56.14898192945493,"c(10.2062463298897, 56.1489819294549)"
Train,Venue,Show all,Train is one of Denmark's biggest and leading music venues. At the venue you can also enjoy the excellent atmosphere at the lounge bar Kupé which is recognised as one of the country's leading nightclubs.,Adults,Show all,Indoor,Show all,10.212029172503145,56.152364389469916,"c(10.2120291725031, 56.1523643894699)"
Aarhus Marina,Marina,Show all,"Aarhus Marina was built in 1933 and is worth a visit whether you arrive from the seaside or land. The maritime environment invites you to relax, have a drink or admire the wooden ships.",Both children and adults,Show all,Outdoor,Show all,10.222377134951683,56.1669844259452,"c(10.2223771349517, 56.1669844259452)"
The Harbor Bath,Beach,Show all,Public outdoor swimming facilities.,Both children and adults,Show all,Outdoor,Show all,10.22523100481939,56.16404533142663,"c(10.2252310048194, 56.1640453314266)"
Aarhus Watersports Complex,Sport and fitness,Show all,"Watersports activities with wakeboards, water skis and SUP rentals.",Both children and adults,Show all,Outdoor,Show all,10.224875807537183,56.16425293889803,"c(10.2248758075372, 56.164252938898)"
Surf Agency,Sport and fitness,Show all,Stand Up Paddleboard club with rental possibilities and outdoor spa facilities.,Both children and adults,Show all,Outdoor,Show all,10.218373462445834,56.16442469002892,"c(10.2183734624458, 56.1644246900289)"
Pakhus77,Sport and fitness,Show all,Indoor padel tennis facility.,Both children and adults,Show all,Indoor,Show all,10.222763139461021,56.161665437629324,"c(10.222763139461, 56.1616654376293)"
HeadQuarters,Venue,Show all,"HeadQuarters is a laid-back night club and music venue in Aarhus where you will find both a dance floor and cosy corners. Every week, a long list of concerts are held with a main focus on new artists.",Adults,Show all,Indoor,Show all,10.199438649907703,56.15222477602261,"c(10.1994386499077, 56.1522247760226)"
Svalegangen Theater,Theater,Show all,The Svalegangen Theatre is only 5 minutes from the Aarhus Central Station. Here you can enjoy theatre of the highest quality; performances which are entertaining and thought-provoking.,Adults,Show all,Indoor,Show all,10.20619901247345,56.15216086621094,"c(10.2061990124734, 56.1521608662109)"
Katapult Theater,Theater,Show all,"Teater Katapult is known for their sometimes controversial but always relevant, contemporary plays. The mission is to get the audience to turn off the autopilot and relate to what is going on on stage and in society.",Adults,Show all,Indoor,Show all,10.194383525966968,56.153605912776094,"c(10.194383525967, 56.1536059127761)"
Voxhall,Venue,Show all,At VoxHall you can enjoy rock concerts and music venues with lots of action on the dance floor; jazz sessions at the cosy and friendly pubs.,Adults,Show all,Indoor,Show all,10.198956725967193,56.155927378631674,"c(10.1989567259672, 56.1559273786317)"
Aarhus Bowling Alley,Entertainment,Show all,Bowling alley located in Aarhus C.,Both children and adults,Show all,Indoor,Show all,10.195866821247927,56.152294248428575,"c(10.1958668212479, 56.1522942484286)"
Boulders Aarhus City,Sport and fitness,Show all,Free climbing gym.,Both children and adults,Show all,Indoor,Show all,10.190876539460072,56.14834242576251,"c(10.1908765394601, 56.1483424257625)"
LOCKED Escape Room,Entertainment,Show all,Escape room center with several different rooms.,Adults,Show all,Indoor,Show all,10.20598608363786,56.15105168965329,"c(10.2059860836379, 56.1510516896533)"
Volume Village,Venue,Show all,Outdoor and indoor live music venue and cultural hub for artists.,Adults,Show all,Indoor and Outdoor,Show all,10.184209495554667,56.14952765188627,"c(10.1842094955547, 56.1495276518863)"
Theater Group 38,Theater,Show all,"Small, intimate theater at Aarhus Ø",Adults,Show all,Indoor,Show all,10.227526110625591,56.16311911131719,"c(10.2275261106256, 56.1631191113172)"
Ingerslev Torv,Other,Show all,"Do as the locals and get your fruits, vegetables, flowers and herbs at the the market at Ingerslev Boulevard. Every Wednesday and Saturday",Both children and adults,Show all,Outdoor,Show all,10.196712893511247,56.144857793790486,"c(10.1967128935112, 56.1448577937905)"
Dokk1,Library,Show all,"Dokk1 is the main library in Aarhus with media, a café, public events, project rooms, study rooms, art, a children's library, and a playground.",Both children and adults,Show all,Indoor and Outdoor,Show all,10.214527187566679,56.15399582919347,"c(10.2145271875667, 56.1539958291935)"
Creative Space,Entertainment,Show all,Paint your own pottery café,Both children and adults,Show all,Indoor,Show all,10.209720268301075,56.15945546754703,"c(10.2097202683011, 56.159455467547)"
Art by Me,Entertainment,Show all,Paint your own pottery café,Both children and adults,Show all,Indoor,Show all,10.199147510629858,56.158600845619496,"c(10.1991475106299, 56.1586008456195)"
Vor Frue Kirke,Church,Show all,"The Church of Our Lady (Danish: Vor Frue Kirke) is one of the larger church structures of Århus, Denmark. The church and associated structures were built in several stages in the course of the Middle Ages, from the late 1200s to 1500 AD. ",Both children and adults,Show all,Indoor,Show all,10.20464067475365,56.15819455403357,"c(10.2046406747536, 56.1581945540336)"
Vor Frue Kirke (Catholic Church),Church,Show all,The church is situated in the heart of Aarhus 100 meters from the Central Station and it has Denmark's largest Catholic parish with members from more than 80 different nations. The church is open on certain days outside of Mass hours. See the sign on the front door for information.,Both children and adults,Show all,Indoor,Show all,10.204401429735393,56.15248844965036,"c(10.2044014297354, 56.1524884496504)"
St. Pauls Kirke,Church,Show all,"St Paul's Church is a parish church in Aarhus, Denmark. It was completed in 1887 to a design by Vilhelm Theodor Walther in the Neo-Romanesque style.",Both children and adults,Show all,Indoor,Show all,10.204244560176825,56.146502870305305,"c(10.2042445601768, 56.1465028703053)"
Tangkrogen,Park,Show all,Tangkrogen is a public park and area in Aarhus near the beach. The park is situated near the city centre by the coast and close to the Marselis forest.,Both children and adults,Show all,Outdoor,Show all,10.209043052620723,56.13890636411847,"c(10.2090430526207, 56.1389063641185)"
Jydsk Væddeløbsbane,Entertainment,Show all,"The Jutland Racecourse is a public racecourse in Aarhus, Denmark.",Both children and adults,Show all,Indoor and Outdoor,Show all,10.195912313562983,56.12840313289481,"c(10.195912313563, 56.1284031328948)"
Skanseparken,Park,Show all,Skanseparken is one of the oldest parks in the city of Aarhus. It is situated in the neighborhood of Frederiksbjerg in the center of Aarhus.,Both children and adults,Show all,Outdoor,Show all,10.206158851227592,56.14597495301759,"c(10.2061588512276, 56.1459749530176)"
Frederiksbjerg Bypark,Park,Show all,Park at Frederiksbjerg,Both children and adults,Show all,Outdoor,Show all,10.18928444792406,56.147386980787076,"c(10.1892844479241, 56.1473869807871)"
Skateboardpark,Sport and fitness,Show all,Skateboard park close to Brabrandstien,Both children and adults,Show all,Outdoor,Show all,10.177975314879204,56.14728322439201,"c(10.1779753148792, 56.147283224392)"
Havnerundfart - Aarhus Sail Event,Entertainment,Show all,"Aarhus Sail Event offers harbor tours of Aarhus Harbor and Bay. Aboard the ship M/S Helene, and experience and enjoy Aarhus from the water. See the new district of Aarhus Ø and listen to the interesting and fun stories that guides form Aarhus Sail Event add to the tour along the way.",Both children and adults,Show all,Indoor and Outdoor,Show all,10.214488833622443,56.15666200315953,"c(10.2144888336224, 56.1566620031595)"
